[7.48071808 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]
[0.         2.94531308 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]
[0.         0.         2.49782362 0.         0.         0.
 0.         0.         0.         0.         0.         0.        ]
[0.         0.         0.         2.46201146 0.         0.
 0.         0.         0.         0.         0.         0.        ]
[0.         0.         0.         0.         2.31312126 0.
 0.         0.         0.         0.         0.         0.        ]
[0.         0.         0.         0.         0.         2.26782739
 0.         0.         0.         0.         0.         0.        ]
[0.         0.         0.         0.         0.         0.
 2.22791176 0.         0.         0.         0.         0.        ]
[0.         0.         0.         0.         0.         0.
 0.         2.02804761 0.         0.         0.         0.        ]
[0.         0.         0.         0.         0.         0.
 0.         0.         1.91712099 0.         0.         0.        ]
[0.         0.         0.         0.         0.         0.
 0.         0.         0.         1.74209445 0.         0.        ]
[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         1.70581257 0.        ]
[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         1.03940101]
