
############### Grid Search ###############
---------------- RFC ----------------
Grid Search CV Results:
     mean_fit_time  std_fit_time  mean_score_time  std_score_time  \
136       0.072976      0.000208         0.004513        0.000014   
137       0.101235      0.002608         0.005852        0.000112   
138       0.005849      0.000018         0.001027        0.000006   
139       0.011364      0.000066         0.001316        0.000008   
140       0.022334      0.000072         0.001868        0.000020   
141       0.054215      0.000595         0.003357        0.000084   
142       0.075044      0.002538         0.004375        0.000167   
143       0.109928      0.002340         0.005999        0.000072   

     param_class_weight param_criterion param_max_depth param_n_estimators  \
0              balanced            gini               2                  5   
1              balanced            gini               2                 10   
2              balanced            gini               2                 20   
3              balanced            gini               2                 50   
4              balanced            gini               2                 70   
5              balanced            gini               2                100   
6              balanced            gini               3                  5   
7              balanced            gini               3                 10   
8              balanced            gini               3                 20   
9              balanced            gini               3                 50   
10             balanced            gini               3                 70   
11             balanced            gini               3                100   
12             balanced            gini               4                  5   
13             balanced            gini               4                 10   
14             balanced            gini               4                 20   
15             balanced            gini               4                 50   
16             balanced            gini               4                 70   
17             balanced            gini               4                100   
18             balanced            gini               5                  5   
19             balanced            gini               5                 10   
20             balanced            gini               5                 20   
21             balanced            gini               5                 50   
22             balanced            gini               5                 70   
23             balanced            gini               5                100   
24             balanced         entropy               2                  5   
25             balanced         entropy               2                 10   
26             balanced         entropy               2                 20   
27             balanced         entropy               2                 50   
28             balanced         entropy               2                 70   
29             balanced         entropy               2                100   
30             balanced         entropy               3                  5   
31             balanced         entropy               3                 10   
32             balanced         entropy               3                 20   
33             balanced         entropy               3                 50   
34             balanced         entropy               3                 70   
35             balanced         entropy               3                100   
36             balanced         entropy               4                  5   
37             balanced         entropy               4                 10   
38             balanced         entropy               4                 20   
39             balanced         entropy               4                 50   
40             balanced         entropy               4                 70   
41             balanced         entropy               4                100   
42             balanced         entropy               5                  5   
43             balanced         entropy               5                 10   
44             balanced         entropy               5                 20   
45             balanced         entropy               5                 50   
46             balanced         entropy               5                 70   
47             balanced         entropy               5                100   
48   balanced_subsample            gini               2                  5   
49   balanced_subsample            gini               2                 10   
50   balanced_subsample            gini               2                 20   
51   balanced_subsample            gini               2                 50   
52   balanced_subsample            gini               2                 70   
53   balanced_subsample            gini               2                100   
54   balanced_subsample            gini               3                  5   
55   balanced_subsample            gini               3                 10   
56   balanced_subsample            gini               3                 20   
57   balanced_subsample            gini               3                 50   
58   balanced_subsample            gini               3                 70   
