1518-2016,1529-2016,1528-2016,1523-2016,1533-2016,362-2016,853-2016,855-2016,1542-2016,295-2016,1535-2016,1526-2016,1539-2016,1546-2016,1493-2016,1492-2016,1481-2016,1491-2016
WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,MendotaBeach13,MononaBeach11,MononaBeach16,WaubesaPier6,MendotaBeach12,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6,WaubesaPier6
Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Mendota,Monona,Monona,Waubesa,Mendota,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa,Waubesa
4/4/16,4/5/16,4/6/16,4/8/16,4/10/16,4/12/16,4/12/16,4/12/16,4/12/16,4/12/16,4/13/16,4/14/16,4/15/16,4/18/16,4/21/16,4/23/16,4/28/16,4/29/16
17:25:00,15:39:00,14:45:00,13:24:00,15:17:00,11:48:00,12:00:00,12:25:00,15:45:00,16:00:00,15:11:00,16:05:00,14:11:00,16:59:00,9:50:00,17:11:00,11:16:00,20:04:00
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5
0.5,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1.0,0.666666666667,0.333333333333,1.0,0.666666666667,0.333333333333,0.333333333333,0.666666666667,0.333333333333,0.333333333333,0.666666666667,0.666666666667,0.666666666667,0.333333333333,0.666666666667,0.666666666667,1.0,0.666666666667
0.718799368088,0.712480252765,0.718799368088,0.696682464455,0.690363349131,0.676145339652,0.818325434439,0.725118483412,0.793048973144,0.767772511848,0.710900473934,0.733017377567,0.767772511848,1.0,0.906793048973,0.981042654028,0.846761453397,0.842022116904
0.608333333333,0.616666666667,0.633333333333,0.583333333333,0.616666666667,0.6875,0.793333333333,0.8,0.616666666667,0.791666666667,0.675,0.633333333333,0.591666666667,0.591666666667,0.966666666667,0.891666666667,1.0,1.0
